1,122874839,Edwards,Julia,2450 Quincy Ct. Apt. C,Little Rock
2,145637205,Martin,Duanne,392 Hazelwood Dr.,New Hartford
3,167294367,Smith,Jerry,111 Lincoln Ave.,Boston
4,194304428,Allen,Nancy,423 Lakefront Dr.,Deerborne
5,234355167,Teague,Denise,556 Cherokee Rd.,Oklahoma City
6,237849217,Jones,Antony,110 Aberdeen Rd.,Albany
7,274596043,Friedman,Oscar,2845 Ocean Drive,Tampa
8,289478363,Cox,June,Rt. 2 Box 784,Cheyenne
9,293652329,Hawthorne,Barbara,688 Ridge Rock Way,Bountiful
10,357593476,Doe,John,384 Main Street,Walla
11,367829047,Taylor,Anne,47 Lawrence Circle,Lawrence
12,372054321,Hall,Brad,56 Starr Ave.,Phoenix
13,378462917,Starnes,Randy,1450 Rock Quarry Road,Lexington
14,467879765,Mitchell,Barbara,923 Kemper Court,Spartanburg
15,478369204,Ward,Keith,Box 2330 Hwy 90,Kalamazoo
16,483029412,Henson,Edward, 783 12th Ave. Circle,Knoxville
17,547293675,Pierce,Timothy,1233 Hamilton Drive,Dallas
18,547392749,Thomas,Matthew,Rt. 4 Box 634,Reading
19,567879343,Thomas,Wanda,21 Martian Way,Jupiter
20,578927349,Miller,Frank,570 8th Avenue,New York
21,638798462,Jones,Tanya,289 Jones Street,San Diego
22,648309214,Bradley,Steve,PO Box 282,Albuquerque
23,674930930,Olsen,Wayne,PO Box 2580,Chicago
24,703946238,Allen,Beth,2834 Harcourt St.,Seattle
25,743092873,Miller,Caroll,Rt. 3 Box 245,Jackson
26,804763829,Thomas,Henry,397 Pennsylvania Ave.,Washington
27,847204826,Allen,Harold,56 48th Street,Denver
28,867496732,Quimbley,red,934 Oak Street,Richmond
29,904873627,Hart,Jim,489 Hartford Drive,Miami
30,948372958,Hill,Thomas,2458 Johnson Parkway,Santa Monica
